confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
3,0,0
6,0,0
8,0,0
12,0,0
17,0,0
25,0,0
27,0,0
36,0,0
49,0,0
83,1,0
143,1,0
179,1,0
209,2,0
274,4,0
299,4,0
358,5,0
394,7,0
460,7,0
491,7,0
537,8,0
581,8,0
649,9,0
696,9,0
771,11,1
811,13,1
843,15,9
880,15,12
912,15,16
955,16,22
999,22,22
1026,23,22
1053,23,22
1062,24,26
1070,29,34
1091,30,34
1128,32,34
1149,33,34
1239,33,41
1298,35,42
1326,37,56
1350,38,57
1370,38,73
1398,40,77
1410,40,87
1426,41,91
1438,41,112
1449,41,113
1344,44,122
1375,45,129
1385,45,135
1399,45,196
1406,46,206
1410,46,213
1419,46,223
1423,46,228
1428,48,261
1433,49,271
1436,49,285
1444,49,298
1479,50,351
1485,50,377
1491,50,398
1505,54,412
1511,54,436
1523,54,455
1534,55,479
1541,56,494
1547,59,512
1562,60,529
1577,60,543
1593,61,558
1604,61,560
1616,63,574
1623,63,597
1635,63,604
1639,65,617
1647,66,632
1656,68,652
1662,68,669
1670,70,696
1675,70,716
1678,70,744
1682,71,769
1684,71,788
1687,71,806
1694,71,816
1705,71,845
1714,71,873
1720,71,916
1727,72,931
1733,74,948
1752,74,989
1756,74,1023
1763,75,1058
1768,75,1088
1773,76,1125
1776,76,1145
1778,76,1168
1784,76,1192
1792,76,1217
1795,76,1255
1798,76,1255
1801,76,1266
1803,77,1302
1804,78,1354
1806,78,1383
1808,78,1387
1813,78,1398
1815,78,1432
1816,78,1447
1817,78,1474
1818,78,1483
1825,78,1502
1828,79,1507
1831,79,1516
1836,79,1527
1841,79,1547
1844,79,1556
1854,79,1597
1857,79,1621
1861,79,1650
